,Wave (Angstroms),Throughput
289,3840.0,0.0
290,3850.0,0.0
291,3860.0,0.0
292,3870.0,0.0
293,3880.0,0.0
294,3890.0,0.0
295,3900.0,0.0
296,3910.0,0.0
297,3920.0,0.0
298,3930.0,0.0
299,3940.0,0.0
300,3950.0,0.0
301,3960.0,0.0
302,3970.0,0.0
303,3980.0,0.0
304,3990.0,0.0
305,3998.0,0.0
306,3999.0,0.0
307,4000.0,0.0
308,4010.0,0.0
309,4020.0,0.0
310,4030.0,0.0
311,4040.0,0.0
312,4050.0,0.0
313,4060.0,0.0
314,4070.0,0.0
315,4080.0,0.0
316,4090.0,0.0
317,4100.0,0.0
318,4110.0,0.0
319,4120.0,0.0
320,4130.0,0.0
321,4140.0,0.0
322,4150.0,0.0
323,4160.0,0.0
324,4170.0,0.0
325,4180.0,0.0
326,4190.0,0.0
327,4200.0,0.0
328,4210.0,0.0
329,4220.0,0.0
330,4230.0,0.0
331,4240.0,0.0
332,4250.0,0.0
333,4260.0,0.0
334,4270.0,0.0
335,4280.0,0.0
336,4290.0,0.0
337,4300.0,0.0
338,4310.0,0.0
339,4320.0,0.0
340,4330.0,0.0
341,4340.0,0.0
342,4350.0,0.0
343,4360.0,0.0
344,4370.0,0.0
345,4380.0,0.0
346,4390.0,0.0
347,4400.0,0.0
348,4410.0,0.0
349,4420.0,0.0
350,4430.0,0.0
351,4440.0,0.0
352,4450.0,0.0
353,4460.0,0.0
354,4470.0,0.0
355,4480.0,0.0
356,4490.0,0.0
357,4500.0,0.0
358,4510.0,0.0
359,4520.0,0.0
360,4530.0,0.0
361,4540.0,0.0
362,4550.0,0.0
363,4560.0,0.0
364,4570.0,0.0
365,4580.0,0.0
366,4590.0,0.0
367,4600.0,0.0
368,4610.0,0.0
369,4620.0,0.0
370,4630.0,0.0
371,4640.0,0.0
372,4650.0,0.0
373,4660.0,0.0
374,4670.0,0.0
375,4680.0,0.0
376,4690.0,0.0
377,4700.0,0.0
378,4710.0,0.0
379,4720.0,0.0
380,4730.0,0.0
381,4740.0,0.0
382,4750.0,0.0
383,4760.0,0.0
384,4770.0,0.0
385,4780.0,0.0
386,4790.0,0.0
387,4800.0,0.0
388,4810.0,0.0
389,4820.0,0.0
390,4830.0,0.0
391,4840.0,0.0
392,4850.0,0.0
393,4860.0,0.0
394,4870.0,0.0
395,4880.0,0.0
396,4890.0,0.0
397,4900.0,0.0
398,4910.0,0.0
399,4920.0,0.0
400,4930.0,0.0
401,4940.0,0.0
402,4950.0,0.0
403,4960.0,0.0
404,4970.0,0.0
405,4980.0,0.0
406,4990.0,0.0
407,5000.0,0.0
408,5010.0,0.0
409,5020.0,0.0
410,5030.0,0.0
411,5040.0,0.0
412,5050.0,0.0
413,5060.0,0.0
414,5070.0,0.0
415,5080.0,0.0
416,5090.0,0.0
417,5100.0,0.0
418,5110.0,0.0
419,5120.0,0.0
420,5130.0,0.0
421,5140.0,0.0
422,5150.0,0.0
423,5160.0,0.0
424,5170.0,0.0
425,5180.0,0.0
426,5190.0,0.0
427,5200.0,0.0
428,5210.0,0.0
429,5220.0,0.0
430,5230.0,0.0
431,5240.0,0.0
432,5250.0,0.0
433,5260.0,0.0
434,5270.0,0.0
435,5280.0,0.0
436,5290.0,0.0
437,5300.0,0.0
438,5310.0,0.0
439,5320.0,0.0
440,5330.0,0.0
441,5340.0,0.0
442,5350.0,0.0
443,5360.0,0.0
444,5370.0,0.0
445,5380.0,0.0
446,5390.0,0.0
447,5400.0,0.0
448,5410.0,0.0
449,5420.0,0.0
450,5430.0,0.0
451,5440.0,0.0
452,5450.0,0.0
453,5460.0,0.0
454,5470.0,0.0
455,5480.0,0.0
456,5490.0,0.0
457,5500.0,0.0
458,5510.0,0.0
459,5520.0,0.0
460,5530.0,0.0
461,5540.0,0.0
462,5550.0,0.0
463,5560.0,0.0
464,5570.0,0.0
465,5580.0,0.0
466,5590.0,0.0
467,5600.0,0.0
468,5610.0,0.0
469,5620.0,0.0
470,5630.0,0.0
471,5640.0,0.0
472,5650.0,0.0
473,5660.0,0.0
474,5670.0,0.0
475,5680.0,0.0
476,5690.0,0.0
477,5700.0,0.0
478,5710.0,0.0
479,5720.0,0.0
480,5730.0,0.0
481,5740.0,0.0
482,5750.0,0.0
483,5760.0,0.0
484,5770.0,0.0
485,5780.0,0.0
486,5790.0,0.0
487,5800.0,0.0
488,5810.0,0.0
489,5820.0,0.0
490,5830.0,0.0
491,5840.0,0.0
492,5850.0,0.0
493,5860.0,0.0
494,5870.0,0.0
495,5880.0,0.0
496,5890.0,0.0
497,5900.0,0.0
498,5910.0,0.0
499,5920.0,0.0
500,5930.0,0.0
501,5940.0,0.0
502,5950.0,0.0
503,5960.0,0.0
504,5970.0,0.0
505,5980.0,0.0
506,5990.0,0.0
507,6000.0,0.0
508,6010.0,0.0
509,6020.0,0.0
510,6030.0,0.0
511,6040.0,0.0
512,6050.0,0.0
513,6060.0,0.0
514,6070.0,0.0
515,6080.0,0.0
516,6090.0,0.0
517,6100.0,0.0
518,6110.0,0.0
519,6120.0,0.0
520,6130.0,0.0
521,6140.0,0.0
522,6150.0,0.0
523,6160.0,0.0
524,6170.0,0.0
525,6180.0,0.0
526,6190.0,0.0
527,6200.0,0.0
528,6210.0,0.0
529,6220.0,0.0
530,6230.0,0.0
531,6240.0,0.0
532,6250.0,0.0
533,6260.0,0.0
534,6270.0,0.0
535,6280.0,0.0
536,6290.0,0.0
537,6300.0,0.0
538,6310.0,0.0
539,6320.0,0.0
540,6330.0,0.0
541,6340.0,0.0
542,6350.0,0.0
543,6360.0,0.0
544,6370.0,0.0
545,6380.0,0.0
546,6390.0,0.0
547,6400.0,0.0
548,6410.0,0.0
549,6420.0,0.0
550,6430.0,0.0
551,6440.0,0.0
552,6450.0,0.0
553,6460.0,0.0
554,6470.0,0.0
555,6480.0,0.0
556,6490.0,0.0
557,6500.0,0.0
558,6510.0,0.0
559,6520.0,0.0
560,6530.0,0.0
561,6540.0,0.0
562,6550.0,0.0
563,6560.0,0.0
564,6570.0,0.0
565,6580.0,0.0
566,6590.0,0.0
567,6600.0,0.0
568,6610.0,0.0
569,6620.0,0.0
570,6630.0,0.0
571,6640.0,0.0
572,6650.0,0.0
573,6660.0,0.0
574,6670.0,0.0
575,6680.0,0.0
576,6690.0,0.0
577,6700.0,0.0
578,6710.0,0.0
579,6720.0,0.0
580,6730.0,0.0
581,6740.0,0.0
582,6750.0,0.0
583,6760.0,0.0
584,6770.0,0.0
585,6780.0,0.0
586,6790.0,0.0
587,6800.0,0.0
588,6810.0,0.0
589,6820.0,0.0
590,6830.0,0.0
591,6840.0,0.0
592,6850.0,0.0
593,6860.0,0.0
594,6870.0,0.0
595,6880.0,0.0
596,6890.0,0.0
597,6900.0,0.0
598,6910.0,0.0
599,6920.0,0.0
600,6930.0,0.0
601,6940.0,0.0
602,6950.0,0.0
603,6960.0,0.0
604,6970.0,0.0
605,6980.0,0.0
606,6990.0,0.0
607,7000.0,0.0
608,7010.0,0.0
609,7020.0,0.0
610,7030.0,0.0
611,7040.0,0.0
612,7050.0,0.0
613,7060.0,0.0
614,7070.0,0.0
615,7080.0,0.0
616,7090.0,0.0
617,7100.0,0.0
618,7110.0,0.0
619,7120.0,0.0
620,7130.0,0.0
621,7140.0,0.0
622,7150.0,0.0
623,7160.0,0.0
624,7170.0,0.0
625,7180.0,0.0
626,7190.0,0.0
627,7200.0,0.0
628,7210.0,0.0
629,7220.0,0.0
630,7230.0,0.0
631,7240.0,0.0
632,7250.0,0.0
633,7260.0,0.0
634,7270.0,0.0
635,7280.0,0.0
636,7290.0,0.0
637,7300.0,0.0
638,7310.0,0.0
639,7320.0,0.0
640,7330.0,0.0
641,7340.0,0.0
642,7350.0,0.0
643,7360.0,0.0
644,7370.0,0.0
645,7380.0,0.0
646,7390.0,0.0
647,7400.0,0.0
648,7410.0,0.0
649,7420.0,0.0
650,7430.0,0.0
651,7440.0,0.0
652,7450.0,0.0
653,7450.0517578125,0.0
654,7451.0517578125,0.0
655,7452.0517578125,0.0
656,7460.0,0.0
657,7470.0,0.0
658,7480.0,0.0
659,7490.0,0.0
660,7500.0,0.0
661,7502.0654296875,0.0
662,7510.0,0.0
663,7520.0,0.0
664,7530.0,0.0
665,7540.0,0.0
666,7550.0,0.0
667,7552.07861328125,0.0
668,7560.0,0.0
669,7570.0,0.0
670,7580.0,0.0
671,7590.0,0.0
672,7600.0,0.0
673,7602.09228515625,0.0
674,7610.0,0.0
675,7620.0,0.0
676,7630.0,0.0
677,7640.0,0.0
678,7650.0,0.0
679,7652.10595703125,0.0
680,7660.0,0.0
681,7670.0,0.0
682,7680.0,0.0
683,7690.0,0.0
684,7700.0,0.0
685,7702.119140625,0.0
686,7710.0,0.0
687,7720.0,0.0
688,7730.0,0.0
689,7740.0,0.0
690,7750.0,0.0
691,7752.1328125,0.0
692,7760.0,0.0
693,7770.0,0.0
694,7780.0,0.0
695,7790.0,0.0
696,7800.0,0.0
697,7802.14599609375,0.0
698,7810.0,0.0
699,7820.0,0.0
700,7830.0,0.0
701,7840.0,0.0
702,7850.0,0.0
703,7860.0,0.0
704,7870.0,0.0
705,7880.0,0.0
706,7890.0,0.0
707,7900.0,0.0
708,7910.0,0.0
709,7920.0,0.0
710,7930.0,0.0
711,7940.0,0.0
712,7950.0,0.0
713,7960.0,0.0
714,7970.0,0.0
715,7980.0,0.0
716,7990.0,0.0
717,7998.0,0.0
718,7999.0,0.0
719,8000.0,5.982359955097279e-05
720,8010.0,5.980182587167162e-05
721,8020.0,5.9787187147564036e-05
722,8030.0,5.97761345018408e-05
723,8040.0,5.975812416005715e-05
724,8050.0,5.974061644129257e-05
725,8060.0,5.972291704463236e-05
726,8070.0,5.9704828688666986e-05
727,8080.0,5.968645487333203e-05
728,8090.0,5.966779411595196e-05
729,8100.0,5.964863556866316e-05
730,8110.0,5.9629182438283035e-05
731,8120.0,5.960923881878222e-05
732,8130.0,5.9588997863552367e-05
733,8140.0,5.9568358536368566e-05
734,8150.0,5.9547215148427554e-05
735,8160.0,5.9525780059072075e-05
736,8170.0,5.950393773387545e-05
737,8180.0,5.948159244204892e-05
738,8190.0,5.957496149381726e-05
739,8200.0,5.966782515570387e-05
740,8210.0,5.974824438893104e-05
741,8220.0,5.982822781614187e-05
742,8230.0,5.990769074228945e-05
743,8240.0,5.9944048554855666e-05
744,8250.0,5.9979844739995194e-05
745,8260.0,6.001499119144566e-05
746,8270.0,6.004938493954911e-05
747,8280.0,6.008323351420414e-05
748,8290.0,6.01164022667566e-05
749,8300.0,6.014881627726678e-05
750,8310.0,6.0180673422433665e-05
751,8320.0,6.021185301594141e-05
752,8330.0,6.0242261749999723e-05
753,8340.0,6.027211174718714e-05
754,8350.0,6.0301172153156135e-05
755,8360.0,6.032966928325908e-05
756,8370.0,6.0229733795305866e-05
757,8380.0,6.01293814139403e-05
758,8390.0,6.0028821146211766e-05
759,8400.0,5.9927943762181764e-05
760,8410.0,5.981505351459332e-05
761,8420.0,5.970183034971184e-05
762,8430.0,5.9588482248460165e-05
763,8440.0,5.9474904997445805e-05
764,8450.0,5.936108951600418e-05
765,8460.0,5.924715195617132e-05
766,8470.0,5.9132989413124505e-05
767,8480.0,5.901877941355363e-05
768,8490.0,5.8905106643953995e-05
769,8500.0,5.879271035064324e-05
770,8510.0,5.871705696029045e-05
771,8520.0,5.8642420206256054e-05
772,8530.0,5.8567941547304814e-05
773,8540.0,5.849323979721562e-05
774,8550.0,5.83519503640842e-05
775,8560.0,5.821047357357618e-05
776,8570.0,5.806863952721247e-05
777,8580.0,5.792662850260547e-05
778,8590.0,5.778434472405505e-05
