,Chip 1 Wave (Angstroms),Chip 1 Throughput,Chip 2 Wave (Angstroms),Chip 2 Throughput
374,1993.0,6.678116010046462e-07,1993.0,8.21813832526646e-07
375,1994.0,6.671454297721686e-07,1994.0,8.22831857477741e-07
376,1995.0,6.664647144379373e-07,1995.0,8.238215461856294e-07
377,1996.0,6.657693241781348e-07,1996.0,8.247908086374926e-07
378,1997.0,6.650592036428182e-07,1997.0,8.257237095106709e-07
379,1998.0,6.643405340232172e-07,1998.0,8.266278694124864e-07
380,1999.0,6.636007788952021e-07,1999.0,8.275112215030144e-07
381,2000.0,6.628461267079453e-07,2000.0,8.283577818175378e-07
382,2000.648193359375,6.61433610981259e-07,2000.648193359375,8.268633004539401e-07
383,2001.0,6.620421664543959e-07,2001.0,8.277711923890239e-07
384,2002.0,6.637736994564311e-07,2002.0,8.303555181333862e-07
385,2003.0,6.655076846539598e-07,2003.0,8.329534420112039e-07
386,2004.0,6.672441224588463e-07,2004.0,8.355490431464756e-07
387,2005.0,6.689829376692343e-07,2005.0,8.381501402250975e-07
388,2006.0,6.707242817209842e-07,2006.0,8.407569309215483e-07
389,2007.0,6.724680795936167e-07,2007.0,8.433693285859103e-07
390,2008.0,6.742143316844233e-07,2008.0,8.45995390594018e-07
391,2009.0,6.75962962019907e-07,2009.0,8.486189543302587e-07
392,2010.0,6.777141235344435e-07,2010.0,8.512482450529495e-07
393,2010.64990234375,6.788522810850844e-07,2010.64990234375,8.529584885796317e-07
394,2011.0,6.782303213240001e-07,2011.0,8.523281166296059e-07
395,2012.0,6.764499131782191e-07,2012.0,8.505293694263756e-07
396,2013.0,6.746636848499263e-07,2013.0,8.487134441298135e-07
397,2014.0,6.728717860294276e-07,2014.0,8.468883344323592e-07
398,2015.0,6.710741374285395e-07,2015.0,8.450540234735141e-07
399,2016.0,6.692707361645138e-07,2016.0,8.432103989451267e-07
400,2017.0,6.67461504017968e-07,2017.0,8.413576350281082e-07
401,2018.0,6.656465890209509e-07,2018.0,8.395035982360719e-07
402,2019.0,6.638259127564349e-07,2019.0,8.376322948633509e-07
403,2020.0,6.619994723705678e-07,2020.0,8.357516110227239e-07
404,2020.6517333984375,6.608040792252382e-07,2020.6517333984375,8.345185772032978e-07
405,2021.0,6.600923129354606e-07,2021.0,8.337671445811227e-07
406,2022.0,6.580444526495146e-07,2022.0,8.316026562510604e-07
407,2023.0,6.559903670358231e-07,2023.0,8.294279891479814e-07
408,2024.0,6.539300531077714e-07,2024.0,8.272430313173367e-07
409,2025.0,6.518634343648199e-07,2025.0,8.25055787628528e-07
410,2026.0,6.49790655121314e-07,2026.0,8.228504521566809e-07
411,2027.0,6.477116386518396e-07,2027.0,8.206347712888831e-07
412,2028.0,6.456202671668093e-07,2028.0,8.184089123270123e-07
413,2029.0,6.435287152797461e-07,2029.0,8.161727637335943e-07
414,2030.0,6.41430990177323e-07,2030.0,8.139263069772946e-07
415,2030.6534423828125,6.400544722945013e-07,2030.6534423828125,8.12449693266922e-07
416,2031.0,6.397322698093558e-07,2031.0,8.121839254013774e-07
417,2032.0,6.38800153356717e-07,2032.0,8.114135004779896e-07
418,2033.0,6.378644081853276e-07,2033.0,8.10637664939123e-07
419,2034.0,6.369251762930652e-07,2034.0,8.098564084619072e-07
420,2035.0,6.359823838046744e-07,2035.0,8.090773054497244e-07
421,2036.0,6.350360288460187e-07,2036.0,8.08285167865873e-07
422,2037.0,6.340801095740645e-07,2037.0,8.074875782573413e-07
423,2038.0,6.331265624018493e-07,2038.0,8.066845262555938e-07
424,2039.0,6.32169518623938e-07,2039.0,8.058759104978166e-07
425,2040.0,6.312089049557048e-07,2040.0,8.050619026597381e-07
426,2040.6552734375,6.305749158857408e-07,2040.6552734375,8.04522224992485e-07
427,2041.0,6.304213135478638e-07,2041.0,8.044677473095289e-07
428,2042.0,6.299740593179805e-07,2042.0,8.043074864479283e-07
