,Chip 1 Wave (Angstroms),Chip 1 Throughput,Chip 2 Wave (Angstroms),Chip 2 Throughput
137,1764.0,0.0,1764.0,0.0
138,1765.0,0.0,1765.0,0.0
139,1766.0,0.0,1766.0,0.0
140,1767.0,0.0,1767.0,0.0
141,1768.0,0.0,1768.0,0.0
142,1769.0,0.0,1769.0,0.0
143,1770.0,0.0,1770.0,0.0
144,1771.0,0.0,1771.0,0.0
145,1772.0,0.0,1772.0,0.0
146,1773.0,0.0,1773.0,0.0
147,1774.0,0.0,1774.0,0.0
148,1775.0,0.0,1775.0,0.0
149,1776.0,0.0,1776.0,0.0
150,1777.0,0.0,1777.0,0.0
151,1778.0,0.0,1778.0,0.0
152,1779.0,0.0,1779.0,0.0
153,1780.0,0.0,1780.0,0.0
154,1781.0,0.0,1781.0,0.0
155,1782.0,0.0,1782.0,0.0
156,1783.0,0.0,1783.0,0.0
157,1784.0,0.0,1784.0,0.0
158,1785.0,0.0,1785.0,0.0
159,1786.0,0.0,1786.0,0.0
160,1787.0,0.0,1787.0,0.0
161,1788.0,0.0,1788.0,0.0
162,1789.0,0.0,1789.0,0.0
163,1790.0,0.0,1790.0,0.0
164,1791.0,0.0,1791.0,0.0
165,1792.0,0.0,1792.0,0.0
166,1793.0,0.0,1793.0,0.0
167,1794.0,0.0,1794.0,0.0
168,1795.0,0.0,1795.0,0.0
169,1796.0,0.0,1796.0,0.0
170,1797.0,0.0,1797.0,0.0
171,1798.0,0.0,1798.0,0.0
172,1799.0,0.0,1799.0,0.0
173,1800.0,0.0,1800.0,0.0
174,1801.0,0.0,1801.0,0.0
175,1802.0,0.0,1802.0,0.0
176,1803.0,0.0,1803.0,0.0
177,1804.0,0.0,1804.0,0.0
178,1805.0,0.0,1805.0,0.0
179,1806.0,0.0,1806.0,0.0
180,1807.0,0.0,1807.0,0.0
181,1808.0,0.0,1808.0,0.0
182,1809.0,0.0,1809.0,0.0
183,1810.0,0.0,1810.0,0.0
184,1811.0,0.0,1811.0,0.0
185,1812.0,0.0,1812.0,0.0
186,1813.0,0.0,1813.0,0.0
187,1814.0,0.0,1814.0,0.0
188,1815.0,0.0,1815.0,0.0
189,1816.0,0.0,1816.0,0.0
190,1817.0,0.0,1817.0,0.0
191,1818.0,0.0,1818.0,0.0
192,1819.0,0.0,1819.0,0.0
193,1820.0,0.0,1820.0,0.0
194,1821.0,0.0,1821.0,0.0
195,1822.0,0.0,1822.0,0.0
196,1823.0,0.0,1823.0,0.0
197,1824.0,0.0,1824.0,0.0
198,1825.0,0.0,1825.0,0.0
199,1826.0,0.0,1826.0,0.0
200,1827.0,0.0,1827.0,0.0
201,1828.0,0.0,1828.0,0.0
202,1829.0,0.0,1829.0,0.0
203,1830.0,0.0,1830.0,0.0
204,1831.0,0.0,1831.0,0.0
205,1832.0,0.0,1832.0,0.0
206,1833.0,0.0,1833.0,0.0
207,1834.0,0.0,1834.0,0.0
208,1835.0,0.0,1835.0,0.0
209,1836.0,0.0,1836.0,0.0
210,1837.0,0.0,1837.0,0.0
211,1838.0,0.0,1838.0,0.0
212,1839.0,0.0,1839.0,0.0
213,1840.0,0.0,1840.0,0.0
214,1841.0,0.0,1841.0,0.0
215,1842.0,0.0,1842.0,0.0
216,1843.0,0.0,1843.0,0.0
217,1844.0,0.0,1844.0,0.0
218,1845.0,0.0,1845.0,0.0
219,1846.0,0.0,1846.0,0.0
220,1847.0,0.0,1847.0,0.0
221,1848.0,0.0,1848.0,0.0
222,1849.0,0.0,1849.0,0.0
223,1850.0,0.0,1850.0,0.0
224,1851.0,0.0,1851.0,0.0
225,1852.0,0.0,1852.0,0.0
226,1853.0,0.0,1853.0,0.0
227,1854.0,0.0,1854.0,0.0
228,1855.0,0.0,1855.0,0.0
229,1856.0,0.0,1856.0,0.0
230,1857.0,0.0,1857.0,0.0
231,1858.0,0.0,1858.0,0.0
232,1858.62744140625,0.0,1858.62744140625,0.0
233,1859.0,0.0,1859.0,0.0
234,1859.62744140625,0.0,1859.62744140625,0.0
235,1860.0,0.0,1860.0,0.0
236,1860.62744140625,0.0,1860.62744140625,0.0
237,1861.0,0.0,1861.0,0.0
238,1862.0,0.0,1862.0,0.0
239,1863.0,0.0,1863.0,0.0
240,1864.0,0.0,1864.0,0.0
241,1865.0,0.0,1865.0,0.0
242,1866.0,0.0,1866.0,0.0
243,1867.0,0.0,1867.0,0.0
244,1868.0,0.0,1868.0,0.0
245,1869.0,0.0,1869.0,0.0
246,1870.0,0.0,1870.0,0.0
247,1871.0,0.0,1871.0,0.0
248,1872.0,0.0,1872.0,0.0
249,1873.0,0.0,1873.0,0.0
250,1874.0,0.0,1874.0,0.0
251,1875.0,0.0,1875.0,0.0
252,1876.0,0.0,1876.0,0.0
253,1877.0,0.0,1877.0,0.0
254,1878.0,0.0,1878.0,0.0
255,1879.0,0.0,1879.0,0.0
256,1880.0,0.0,1880.0,0.0
257,1880.6298828125,0.0,1880.6298828125,0.0
258,1881.0,0.0,1881.0,0.0
259,1882.0,0.0,1882.0,0.0
260,1883.0,0.0,1883.0,0.0
261,1884.0,0.0,1884.0,0.0
262,1885.0,0.0,1885.0,0.0
263,1886.0,0.0,1886.0,0.0
264,1887.0,0.0,1887.0,0.0
265,1888.0,0.0,1888.0,0.0
266,1889.0,0.0,1889.0,0.0
267,1890.0,0.0,1890.0,0.0
268,1891.0,0.0,1891.0,0.0
269,1892.0,0.0,1892.0,0.0
270,1893.0,0.0,1893.0,0.0
271,1894.0,0.0,1894.0,0.0
272,1895.0,0.0,1895.0,0.0
273,1896.0,0.0,1896.0,0.0
274,1897.0,0.0,1897.0,0.0
275,1898.0,0.0,1898.0,0.0
276,1899.0,0.0,1899.0,0.0
277,1900.0,0.0,1900.0,0.0
278,1900.6324462890625,0.0,1900.6324462890625,0.0
279,1901.0,0.0,1901.0,0.0
280,1902.0,0.0,1902.0,0.0
281,1903.0,0.0,1903.0,0.0
282,1904.0,0.0,1904.0,0.0
283,1905.0,0.0,1905.0,0.0
284,1906.0,0.0,1906.0,0.0
285,1907.0,0.0,1907.0,0.0
286,1908.0,0.0,1908.0,0.0
287,1909.0,0.0,1909.0,0.0
288,1910.0,0.0,1910.0,0.0
289,1910.6339111328125,0.0,1910.6339111328125,0.0
290,1911.0,0.0,1911.0,0.0
291,1912.0,0.0,1912.0,0.0
292,1913.0,0.0,1913.0,0.0
293,1914.0,0.0,1914.0,0.0
294,1915.0,0.0,1915.0,0.0
295,1916.0,0.0,1916.0,0.0
296,1917.0,0.0,1917.0,0.0
297,1918.0,0.0,1918.0,0.0
298,1919.0,0.0,1919.0,0.0
299,1920.0,0.0,1920.0,0.0
300,1920.63525390625,0.0,1920.63525390625,0.0
301,1921.0,0.0,1921.0,0.0
302,1922.0,0.0,1922.0,0.0
303,1923.0,0.0,1923.0,0.0
304,1924.0,0.0,1924.0,0.0
305,1925.0,0.0,1925.0,0.0
306,1926.0,0.0,1926.0,0.0
307,1927.0,0.0,1927.0,0.0
308,1928.0,0.0,1928.0,0.0
309,1929.0,0.0,1929.0,0.0
310,1930.0,0.0,1930.0,0.0
311,1930.6368408203125,0.0,1930.6368408203125,0.0
312,1931.0,0.0,1931.0,0.0
313,1932.0,0.0,1932.0,0.0
314,1933.0,0.0,1933.0,0.0
315,1934.0,0.0,1934.0,0.0
316,1935.0,0.0,1935.0,0.0
317,1936.0,0.0,1936.0,0.0
318,1937.0,0.0,1937.0,0.0
319,1938.0,0.0,1938.0,0.0
320,1939.0,0.0,1939.0,0.0
321,1940.0,0.0,1940.0,0.0
322,1940.6383056640625,0.0,1940.6383056640625,0.0
323,1941.0,0.0,1941.0,0.0
324,1942.0,0.0,1942.0,0.0
325,1943.0,0.0,1943.0,0.0
326,1944.0,0.0,1944.0,0.0
327,1945.0,0.0,1945.0,0.0
328,1946.0,0.0,1946.0,0.0
329,1947.0,0.0,1947.0,0.0
330,1948.0,0.0,1948.0,0.0
331,1949.0,0.0,1949.0,0.0
332,1950.0,0.0,1950.0,0.0
333,1950.639892578125,0.0,1950.639892578125,0.0
334,1951.0,0.0,1951.0,0.0
335,1952.0,0.0,1952.0,0.0
336,1953.0,0.0,1953.0,0.0
337,1954.0,0.0,1954.0,0.0
338,1955.0,0.0,1955.0,0.0
339,1956.0,0.0,1956.0,0.0
340,1957.0,0.0,1957.0,0.0
341,1958.0,0.0,1958.0,0.0
342,1959.0,0.0,1959.0,0.0
343,1960.0,0.0,1960.0,0.0
344,1960.641357421875,0.0,1960.641357421875,0.0
345,1961.0,0.0,1961.0,0.0
346,1962.0,0.0,1962.0,0.0
347,1963.0,0.0,1963.0,0.0
348,1964.0,0.0,1964.0,0.0
349,1965.0,0.0,1965.0,0.0
350,1966.0,0.0,1966.0,0.0
351,1967.0,0.0,1967.0,0.0
352,1968.0,0.0,1968.0,0.0
353,1969.0,0.0,1969.0,0.0
354,1970.0,0.0,1970.0,0.0
355,1970.64306640625,0.0,1970.64306640625,0.0
356,1971.0,0.0,1971.0,0.0
357,1972.0,0.0,1972.0,0.0
358,1973.0,0.0,1973.0,0.0
359,1974.0,0.0,1974.0,0.0
